X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDipole_Apparent_Resistivity_Ohmm,Relative_Error
-153.75,-3.75,211.24,219.575,0.039457
-151.25,-3.75,212.002,210.343,0.007825
-148.75,-3.75,208.002,206.686,0.006327
-146.25,-3.75,217.66,220.942,0.015079
-143.75,-3.75,194.951,199.968,0.025735
-141.25,-3.75,221.795,225.091,0.014861
-138.75,-3.75,202.674,211,0.041081
-136.25,-3.75,208.675,216.4,0.037019
-133.75,-3.75,215.579,222.433,0.031793
-131.25,-3.75,205.015,204.725,0.001415
-128.75,-3.75,217.525,209.261,0.037991
-126.25,-3.75,212.162,208.905,0.015351
-123.75,-3.75,217.728,218.497,0.003532
-121.25,-3.75,214.862,224.585,0.045252
-118.75,-3.75,215.178,221.219,0.028074
-116.25,-3.75,206.13,208.794,0.012924
-113.75,-3.75,218.818,213.18,0.025766
-111.25,-3.75,205.709,205.097,0.002975
-108.75,-3.75,217.531,216.771,0.003494
-106.25,-3.75,215.569,207.546,0.037218
-103.75,-3.75,206.706,210.48,0.018258
-101.25,-3.75,217.171,219.937,0.012737
-98.75,-3.75,204.729,204.893,0.000801
-96.25,-3.75,217.15,207.41,0.044854
-93.75,-3.75,202.888,195.686,0.035497
-91.25,-3.75,221.079,228.413,0.033174
-88.75,-3.75,205.261,204.211,0.005115
-86.25,-3.75,217.335,217.392,0.000262
-83.75,-3.75,215.478,217.121,0.007625
-81.25,-3.75,206.695,197.443,0.044762
-78.75,-3.75,217.232,213.233,0.018409
-76.25,-3.75,206.352,216.909,0.05116
-73.75,-3.75,215.316,222.208,0.032009
-71.25,-3.75,213.73,215.063,0.006237
-68.75,-3.75,217.232,212.728,0.020734
-66.25,-3.75,212.105,210.031,0.009778
-63.75,-3.75,217.544,208.638,0.040939
-61.25,-3.75,215.449,221.539,0.028267
-58.75,-3.75,206.562,212.53,0.028892
-56.25,-3.75,216.999,220.175,0.014636
-53.75,-3.75,204.537,198.296,0.030513
-51.25,-3.75,216.979,219.511,0.011669
-48.75,-3.75,202.721,201.678,0.005145
-46.25,-3.75,220.918,220.19,0.003295
-43.75,-3.75,205.105,196.923,0.039892
-41.25,-3.75,217.175,206.337,0.049904
-38.75,-3.75,215.306,213.632,0.007775
-36.25,-3.75,206.505,213.162,0.032237
-33.75,-3.75,217.014,221.017,0.018446
-31.25,-3.75,206.094,202.194,0.018923
-28.75,-3.75,215.007,216.618,0.007493
-26.25,-3.75,213.351,209.661,0.017295
-23.75,-3.75,216.711,221.438,0.021812
-21.25,-3.75,211.99,214.741,0.012977
-18.75,-3.75,208.445,205.218,0.015481
-16.25,-3.75,216.07,218.027,0.009057
-13.75,-3.75,205.135,198.015,0.034709
-11.25,-3.75,213.948,214.108,0.000748
-8.75,-3.75,212.428,215.167,0.012894
-6.25,-3.75,204.576,210.236,0.027667
-3.75,-3.75,215.39,217.624,0.010372
-1.25,-3.75,193.562,191.872,0.008731
1.25,-3.75,207.731,210.463,0.013152
3.75,-3.75,196.429,192.204,0.021509
6.25,-3.75,206.868,209.335,0.011925
8.75,-3.75,201.273,201.295,0.000109
11.25,-3.75,215.038,211.36,0.017104
13.75,-3.75,202.046,208.367,0.031285
16.25,-3.75,216.552,215.844,0.003269
18.75,-3.75,200.532,207.91,0.036792
21.25,-3.75,206.078,201.494,0.022244
23.75,-3.75,214.86,213.228,0.007596
26.25,-3.75,204.002,200.264,0.018323
28.75,-3.75,206.851,197.547,0.044979
31.25,-3.75,214.785,220.952,0.028712
33.75,-3.75,202.838,202.101,0.003633
36.25,-3.75,215.414,213.991,0.006606
38.75,-3.75,210.519,204.568,0.028268
41.25,-3.75,207.178,201.929,0.025336
43.75,-3.75,214.876,210.897,0.018518
46.25,-3.75,203.895,208.677,0.023453
48.75,-3.75,215.18,211.398,0.017576
51.25,-3.75,209.122,215.04,0.028299
53.75,-3.75,205.72,206.898,0.005726
56.25,-3.75,214.675,219.735,0.023571
58.75,-3.75,203.721,201.23,0.012228
61.25,-3.75,205.698,205.42,0.001351
63.75,-3.75,215.473,215.046,0.001982
66.25,-3.75,199.934,195.405,0.022652
68.75,-3.75,205.329,206.018,0.003356
71.25,-3.75,213.264,211.521,0.008173
73.75,-3.75,202.872,207.303,0.021841
76.25,-3.75,215.516,224.897,0.043528
78.75,-3.75,210.173,213.099,0.013922
81.25,-3.75,215.798,220.328,0.020992
83.75,-3.75,213.801,214.638,0.003915
86.25,-3.75,202.379,203.4,0.005045
88.75,-3.75,218.148,217.505,0.002948
91.25,-3.75,200.985,202.07,0.005398
93.75,-3.75,215.624,219.315,0.017118
96.25,-3.75,212.869,208.781,0.019204
98.75,-3.75,205.908,200.062,0.028391
101.25,-3.75,205.767,208.918,0.015313
103.75,-3.75,206.841,207.767,0.004477
106.25,-3.75,203.056,201.445,0.007934
108.75,-3.75,215.305,206.568,0.04058
111.25,-3.75,200.853,201.032,0.000891
113.75,-3.75,216.142,206.842,0.043027
116.25,-3.75,195.326,195.149,0.000906
118.75,-3.75,215.698,217.502,0.008364
121.25,-3.75,193.391,191.337,0.010621
123.75,-3.75,207.107,204.082,0.014606
126.25,-3.75,207.537,204,0.017043
128.75,-3.75,192.681,188.025,0.024164
131.25,-3.75,216.26,206.6,0.044668
133.75,-3.75,195.896,187.585,0.042426
136.25,-3.75,213.528,210.191,0.015628
138.75,-3.75,204.779,204.24,0.002632
141.25,-3.75,211.861,201.034,0.051104
143.75,-3.75,215.053,207.779,0.033824
146.25,-3.75,200.911,218.934,0.089706
148.75,-3.75,215.914,193.117,0.105584
151.25,-3.75,193.956,218.812,0.128153
-150,-7.5,210.937,210.259,0.003214
-147.5,-7.5,213.211,210.827,0.011181
-145,-7.5,213.671,209.301,0.020452
-142.5,-7.5,214.103,208.059,0.028229
-140,-7.5,211.81,211.071,0.003489
-137.5,-7.5,211.783,212.367,0.002758
-135,-7.5,212.739,206.788,0.027973
-132.5,-7.5,217.739,220.703,0.013613
-130,-7.5,213.053,209.226,0.017963
-127.5,-7.5,212.409,216.857,0.020941
-125,-7.5,213.551,213.065,0.002276
-122.5,-7.5,215.734,212.781,0.013688
-120,-7.5,213.815,215.272,0.006814
-117.5,-7.5,213.06,211.766,0.006073
-115,-7.5,214.105,222.014,0.03694
-112.5,-7.5,213.58,218.992,0.025339
-110,-7.5,212.821,222.407,0.045043
-107.5,-7.5,211.848,212.166,0.001501
-105,-7.5,213.519,205.748,0.036395
-102.5,-7.5,213.601,216.278,0.012533
-100,-7.5,215.335,217.221,0.008758
-97.5,-7.5,211.431,203.219,0.03884
-95,-7.5,211.22,211,0.001042
-92.5,-7.5,213.569,205.321,0.03862
-90,-7.5,214.602,220.576,0.027838
-87.5,-7.5,212.892,211.665,0.005763
-85,-7.5,211.242,213.251,0.00951
-82.5,-7.5,213.097,215.189,0.009817
-80,-7.5,213.44,206.669,0.031723
-77.5,-7.5,213.213,210.935,0.010684
-75,-7.5,211.631,206.689,0.023352
-72.5,-7.5,214.006,219.704,0.026625
-70,-7.5,214.123,217.655,0.016495
-67.5,-7.5,212.301,209.494,0.013222
-65,-7.5,212.585,206.771,0.027349
-62.5,-7.5,212.932,204.243,0.040806
-60,-7.5,212.539,218.462,0.027868
-57.5,-7.5,212.414,209.349,0.014429
-55,-7.5,214.162,213.969,0.000901
-52.5,-7.5,210.196,205.488,0.022398
-50,-7.5,209.984,205.059,0.023454
-47.5,-7.5,212.34,215.651,0.015593
-45,-7.5,213.382,215.575,0.010277
-42.5,-7.5,211.662,212.547,0.004181
-40,-7.5,209.952,223.468,0.064377
-37.5,-7.5,211.684,219.447,0.036673
-35,-7.5,211.836,220.234,0.039644
-32.5,-7.5,211.345,213.364,0.009553
-30,-7.5,209.426,206.267,0.015084
-27.5,-7.5,211.389,203.672,0.036506
-25,-7.5,211.372,215.297,0.018569
-22.5,-7.5,207.323,209.727,0.011595
-20,-7.5,207.137,200.082,0.03406
-17.5,-7.5,209.418,208.791,0.002994
-15,-7.5,207.53,206.659,0.004197
-12.5,-7.5,204.011,196.111,0.038723
-10,-7.5,203.351,201.854,0.007362
-7.5,-7.5,203.878,201.416,0.012076
-5,-7.5,202.226,200.565,0.008214
-2.5,-7.5,198.817,194.394,0.022247
0,-7.5,198.896,207.128,0.041388
2.5,-7.5,201.724,193.959,0.038493
5,-7.5,202.671,203.232,0.002768
7.5,-7.5,197.431,201.58,0.021015
10,-7.5,196.556,200.6,0.020574
12.5,-7.5,200.138,197.371,0.013825
15,-7.5,204.235,204.547,0.001528
17.5,-7.5,198.872,194.781,0.020571
20,-7.5,197.704,197.157,0.002767
22.5,-7.5,201.031,198.134,0.014411
25,-7.5,200.725,204.313,0.017875
27.5,-7.5,197.948,200.808,0.014448
30,-7.5,199.684,202.97,0.016456
32.5,-7.5,202.688,200.265,0.011954
35,-7.5,199.863,195.933,0.019663
37.5,-7.5,197.413,203.664,0.031665
40,-7.5,198.81,204.961,0.030939
42.5,-7.5,201.376,199.718,0.008233
45,-7.5,201.322,199.327,0.009909
47.5,-7.5,199.321,200.204,0.00443
50,-7.5,196.007,187.516,0.04332
52.5,-7.5,196.846,202.938,0.030948
55,-7.5,199.366,197.897,0.007368
57.5,-7.5,198.57,199.613,0.005253
60,-7.5,197.21,199.218,0.010182
62.5,-7.5,199.937,199.662,0.001375
65,-7.5,196.875,199.678,0.014237
67.5,-7.5,195.746,198.12,0.012128
70,-7.5,199.622,198.546,0.00539
72.5,-7.5,203.897,198.807,0.024964
75,-7.5,199.488,193.717,0.028929
77.5,-7.5,199.102,193.786,0.0267
80,-7.5,201.115,197.444,0.018253
82.5,-7.5,200.778,195.061,0.028474
85,-7.5,201.497,202.899,0.006958
87.5,-7.5,201.839,195.27,0.032546
90,-7.5,201.147,200.247,0.004474
92.5,-7.5,199.145,197.421,0.008657
95,-7.5,199.611,200.565,0.004779
97.5,-7.5,200.755,198.917,0.009155
100,-7.5,199.979,198.218,0.008806
102.5,-7.5,201.241,199.483,0.008736
105,-7.5,201.638,200.305,0.006611
107.5,-7.5,199.625,193.648,0.029941
110,-7.5,198.377,199.421,0.005263
112.5,-7.5,200.737,202.047,0.006526
115,-7.5,203.017,197.203,0.028638
117.5,-7.5,200.845,197.395,0.017177
120,-7.5,196.766,196.386,0.001931
122.5,-7.5,200.686,201.12,0.002163
125,-7.5,202.347,205.586,0.016007
127.5,-7.5,199.923,199.96,0.000185
130,-7.5,198.085,201.61,0.017795
132.5,-7.5,200.369,203.7,0.016624
135,-7.5,202.357,201.557,0.003953
137.5,-7.5,200.367,196.051,0.02154
140,-7.5,203.447,196.933,0.032018
142.5,-7.5,200.419,200.647,0.001138
145,-7.5,199.593,204.019,0.022175
147.5,-7.5,199.832,191.058,0.043907
-146.25,-11.25,232.315,233.701,0.005966
-143.75,-11.25,233.589,231.847,0.007458
-141.25,-11.25,232.309,229.18,0.013469
-138.75,-11.25,232.879,225.791,0.030436
-136.25,-11.25,233.567,229.977,0.01537
-133.75,-11.25,233.869,234.915,0.004473
-131.25,-11.25,233.624,226.663,0.029796
-128.75,-11.25,233.199,240.629,0.031861
-126.25,-11.25,232.475,233.809,0.005738
-123.75,-11.25,232.793,226.544,0.026844
-121.25,-11.25,233.658,237.35,0.015801
-118.75,-11.25,233.344,237.902,0.019533
-116.25,-11.25,233.047,224.725,0.03571
-113.75,-11.25,232.082,233.801,0.007407
-111.25,-11.25,232.036,238.283,0.026923
-108.75,-11.25,232.235,233.001,0.003298
-106.25,-11.25,232.768,238.693,0.025455
-103.75,-11.25,233.528,229.496,0.017266
-101.25,-11.25,233.157,235.6,0.010478
-98.75,-11.25,232.499,226.579,0.025462
-96.25,-11.25,231.41,227.303,0.017748
-93.75,-11.25,231.48,236.846,0.023181
-91.25,-11.25,231.47,224.541,0.029935
-88.75,-11.25,232.166,225.181,0.030086
-86.25,-11.25,231.868,229.571,0.009906
-83.75,-11.25,231.9,229.436,0.010625
-81.25,-11.25,231.362,220.099,0.048681
-78.75,-11.25,231.07,225.491,0.024144
-76.25,-11.25,231.296,230.395,0.003895
-73.75,-11.25,230.971,229.643,0.00575
-71.25,-11.25,230.546,226.796,0.016266
-68.75,-11.25,230.142,239.387,0.040171
-66.25,-11.25,229.58,237.348,0.033836
-63.75,-11.25,229.075,236.551,0.032636
-61.25,-11.25,229.829,231.994,0.00942
-58.75,-11.25,230.641,234.51,0.016775
-56.25,-11.25,229.655,233.004,0.014583
-53.75,-11.25,228.868,233,0.018054
-51.25,-11.25,227.753,218.769,0.039446
-48.75,-11.25,227.741,232.572,0.021213
-46.25,-11.25,227.664,225.557,0.009255
-43.75,-11.25,228.261,228.9,0.002799
-41.25,-11.25,227.772,227.101,0.002946
-38.75,-11.25,227.465,225.824,0.007214
-36.25,-11.25,226.396,221.833,0.020155
-33.75,-11.25,225.392,230.937,0.024602
-31.25,-11.25,224.788,213.221,0.051457
-28.75,-11.25,223.82,219.013,0.021477
-26.25,-11.25,222.136,225.049,0.013114
-23.75,-11.25,220.475,219.538,0.00425
-21.25,-11.25,219.14,219.744,0.002756
-18.75,-11.25,217.12,220.874,0.01729
-16.25,-11.25,215.516,214.446,0.004965
-13.75,-11.25,213.971,209.006,0.023204
-11.25,-11.25,211.68,213.528,0.00873
-8.75,-11.25,208.152,215.279,0.034239
-6.25,-11.25,206.397,204.338,0.009976
-3.75,-11.25,204.573,209.717,0.025145
-1.25,-11.25,203.584,199.433,0.02039
1.25,-11.25,204.086,200.253,0.018781
3.75,-11.25,204.555,205.444,0.004346
6.25,-11.25,201.959,204.232,0.011255
8.75,-11.25,201.703,207.321,0.027853
11.25,-11.25,201.614,201.877,0.001304
13.75,-11.25,201.083,202.045,0.004784
16.25,-11.25,200.59,198.859,0.00863
18.75,-11.25,200.501,204.938,0.02213
21.25,-11.25,198.914,200.602,0.008486
23.75,-11.25,198.601,198.854,0.001274
26.25,-11.25,199.143,194.325,0.024194
28.75,-11.25,199.066,197.255,0.009097
31.25,-11.25,198.202,196.644,0.007861
33.75,-11.25,197.471,200.318,0.014417
36.25,-11.25,196.427,200.85,0.022517
38.75,-11.25,195.771,193.753,0.010308
41.25,-11.25,196.105,198.894,0.014222
43.75,-11.25,196.524,194.111,0.012278
46.25,-11.25,195.39,193.132,0.011556
48.75,-11.25,193.028,193.871,0.004367
51.25,-11.25,191.306,191.192,0.000596
53.75,-11.25,191.192,194.834,0.019049
56.25,-11.25,193.036,197.082,0.02096
58.75,-11.25,195.284,191.126,0.021292
61.25,-11.25,194.661,198.728,0.020893
63.75,-11.25,192.979,194.915,0.010032
66.25,-11.25,193.785,198.912,0.026457
68.75,-11.25,195.668,197.684,0.010303
71.25,-11.25,197.484,200.553,0.01554
73.75,-11.25,198.827,194.028,0.024137
76.25,-11.25,198.184,199.065,0.004445
78.75,-11.25,196.426,194.205,0.011307
81.25,-11.25,197.54,199.201,0.008408
83.75,-11.25,198.709,195.815,0.014564
86.25,-11.25,198.906,199.229,0.001624
88.75,-11.25,198.391,196.205,0.011019
91.25,-11.25,198.576,191.605,0.035105
93.75,-11.25,198.501,195.365,0.015798
96.25,-11.25,199.349,197.162,0.010971
98.75,-11.25,199.752,196.977,0.013892
101.25,-11.25,201.054,198.229,0.014051
103.75,-11.25,200.516,205.556,0.025135
106.25,-11.25,200.016,199.519,0.002485
108.75,-11.25,200.014,195.531,0.022413
111.25,-11.25,200.934,195.932,0.024894
113.75,-11.25,200.395,199.812,0.002909
116.25,-11.25,202.065,199.065,0.014847
118.75,-11.25,201.984,198.521,0.017145
121.25,-11.25,202.031,198.687,0.016552
123.75,-11.25,202.515,198.439,0.020127
126.25,-11.25,202.649,202.505,0.000711
128.75,-11.25,201.778,201.985,0.001026
131.25,-11.25,201.334,200.695,0.003174
133.75,-11.25,201.778,203.533,0.008698
136.25,-11.25,202.546,204.086,0.007603
138.75,-11.25,203.083,204.981,0.009346
141.25,-11.25,201.688,199.073,0.012966
143.75,-11.25,201.341,184.564,0.083326
-142.5,-15,257.52,260.256,0.010624
-140,-15,257.996,258.954,0.003713
-137.5,-15,258.554,264.117,0.021516
-135,-15,258.29,261.165,0.011131
-132.5,-15,258.479,260.265,0.00691
-130,-15,258.751,251.133,0.029441
-127.5,-15,258.524,260.82,0.008881
-125,-15,258.843,253.789,0.019525
-122.5,-15,258.066,258.562,0.001922
-120,-15,258.402,266.905,0.032906
-117.5,-15,258.4,256.417,0.007674
-115,-15,257.739,264.827,0.027501
-112.5,-15,257.426,265.651,0.031951
